# Total Phase Data Center(tm) v5.00
# (c) 2005-2010 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,Record,Data
0,0,0:00.000.000,,,,Capture started,[12/13/10 23:03:11]
0,1,0:00.000.102,314.470.400 ms,0 B,TM,Transaction,
1,2,0:00.000.102,314.470.400 ms,0 B,TM,   MOSI,
1,3,0:00.000.102,314.470.400 ms,0 B,TM,   MISO,
0,4,0:01.810.574,90.100 us,0 B,,Transaction,
1,5,0:01.810.574,90.100 us,0 B,,   MOSI,
1,6,0:01.810.574,90.100 us,0 B,,   MISO,
0,7,0:01.827.296,90.100 us,0 B,,Transaction,
1,8,0:01.827.296,90.100 us,0 B,,   MOSI,
1,9,0:01.827.296,90.100 us,0 B,,   MISO,
0,10,0:01.844.005,257.100 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,11,0:01.844.005,257.100 us,5 B,,   MOSI,01 42 00 00 00
1,12,0:01.844.005,257.100 us,5 B,,   MISO,FF 41 5A FF FF
0,13,0:01.860.629,256.300 us,5 B,,Transaction,01FF 4341 005A 01FF 00FF
1,14,0:01.860.629,256.300 us,5 B,,   MOSI,01 43 00 01 00
1,15,0:01.860.629,256.300 us,5 B,,   MISO,FF 41 5A FF FF
0,16,0:01.877.371,455.000 us,9 B,,Transaction,01FF 45F3 005A 5A03 5A02 5A00 5A02 5A01 5A00
1,17,0:01.877.371,455.000 us,9 B,,   MOSI,01 45 00 5A 5A 5A 5A 5A 5A
1,18,0:01.877.371,455.000 us,9 B,,   MISO,FF F3 5A 03 02 00 02 01 00
0,19,0:01.894.054,454.500 us,9 B,,Transaction,01FF 46F3 005A 0000 5A00 5A01 5A02 5A00 5A0F
1,20,0:01.894.054,454.500 us,9 B,,   MOSI,01 46 00 00 5A 5A 5A 5A 5A
1,21,0:01.894.054,454.500 us,9 B,,   MISO,FF F3 5A 00 00 01 02 00 0F
0,22,0:01.910.804,454.300 us,9 B,,Transaction,01FF 46F3 005A 0100 5A00 5A01 5A01 5A01 5A0F
1,23,0:01.910.804,454.300 us,9 B,,   MOSI,01 46 00 01 5A 5A 5A 5A 5A
1,24,0:01.910.804,454.300 us,9 B,,   MISO,FF F3 5A 00 00 01 01 01 0F
0,25,0:01.927.374,454.400 us,9 B,,Transaction,01FF 47F3 005A 0000 5A00 5A02 5A00 5A01 5A00
1,26,0:01.927.374,454.400 us,9 B,,   MOSI,01 47 00 00 5A 5A 5A 5A 5A
1,27,0:01.927.374,454.400 us,9 B,,   MISO,FF F3 5A 00 00 02 00 01 00
0,28,0:01.944.062,454.300 us,9 B,,Transaction,01FF 4CF3 005A 0000 5A00 5A00 5A04 5A00 5A00
1,29,0:01.944.062,454.300 us,9 B,,   MOSI,01 4C 00 00 5A 5A 5A 5A 5A
1,30,0:01.944.062,454.300 us,9 B,,   MISO,FF F3 5A 00 00 00 04 00 00
0,31,0:01.960.791,453.700 us,9 B,,Transaction,01FF 4CF3 005A 0100 5A00 5A00 5A07 5A00 5A00
1,32,0:01.960.791,453.700 us,9 B,,   MOSI,01 4C 00 01 5A 5A 5A 5A 5A
1,33,0:01.960.791,453.700 us,9 B,,   MISO,FF F3 5A 00 00 00 07 00 00
0,34,0:01.977.527,453.300 us,9 B,,Transaction,01FF 4DF3 005A FFFF FFFF FFFF FFFF FFFF FFFF
1,35,0:01.977.527,453.300 us,9 B,,   MOSI,01 4D 00 FF FF FF FF FF FF
1,36,0:01.977.527,453.300 us,9 B,,   MISO,FF F3 5A FF FF FF FF FF FF
0,37,0:01.994.158,453.700 us,9 B,,Transaction,01FF 41F3 005A 5A00 5A00 5A00 5A00 5A00 5A00
1,38,0:01.994.158,453.700 us,9 B,,   MOSI,01 41 00 5A 5A 5A 5A 5A 5A
1,39,0:01.994.158,453.700 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,40,0:02.010.822,454.100 us,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,41,0:02.010.822,454.100 us,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,42,0:02.010.822,454.100 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,43,0:02.027.481,257.200 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,44,0:02.027.481,257.200 us,5 B,,   MOSI,01 42 00 00 00
1,45,0:02.027.481,257.200 us,5 B,,   MISO,FF 41 5A FF FF
0,46,0:02.044.306,255.700 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,47,0:02.044.306,255.700 us,5 B,,   MOSI,01 42 00 00 00
1,48,0:02.044.306,255.700 us,5 B,,   MISO,FF 41 5A FF FF
0,49,0:02.060.917,255.700 us,5 B,,Transaction,01FF 4241 005A 00FF 00FF
1,50,0:02.060.917,255.700 us,5 B,,   MOSI,01 42 00 00 00
1,51,0:02.060.917,255.700 us,5 B,,   MISO,FF 41 5A FF FF
0,52,0:02.077.602,256.800 us,5 B,,Transaction,01FF 4341 005A 01FF 00FF
1,53,0:02.077.602,256.800 us,5 B,,   MOSI,01 43 00 01 00
1,54,0:02.077.602,256.800 us,5 B,,   MISO,FF 41 5A FF FF
0,55,0:02.094.275,453.900 us,9 B,,Transaction,01FF 44F3 005A 0100 0300 0000 0000 0000 0000
1,56,0:02.094.275,453.900 us,9 B,,   MOSI,01 44 00 01 03 00 00 00 00
1,57,0:02.094.275,453.900 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,58,0:02.110.945,452.900 us,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,59,0:02.110.945,452.900 us,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,60,0:02.110.945,452.900 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,61,0:02.127.592,257.100 us,5 B,,Transaction,01FF 4273 005A 00FF 00FF
1,62,0:02.127.592,257.100 us,5 B,,   MOSI,01 42 00 00 00
1,63,0:02.127.592,257.100 us,5 B,,   MISO,FF 73 5A FF FF
0,64,0:02.144.277,255.500 us,5 B,,Transaction,01FF 4273 005A 00FF 00FF
1,65,0:02.144.277,255.500 us,5 B,,   MOSI,01 42 00 00 00
1,66,0:02.144.277,255.500 us,5 B,,   MISO,FF 73 5A FF FF
0,67,0:02.161.080,453.600 us,9 B,,Transaction,01FF 4373 005A 01FF 00FF 0080 0080 0080 0080
1,68,0:02.161.080,453.600 us,9 B,,   MOSI,01 43 00 01 00 00 00 00 00
1,69,0:02.161.080,453.600 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,70,0:02.177.721,453.700 us,9 B,,Transaction,01FF 45F3 005A 5A03 5A02 5A01 5A02 5A01 5A00
1,71,0:02.177.721,453.700 us,9 B,,   MOSI,01 45 00 5A 5A 5A 5A 5A 5A
1,72,0:02.177.721,453.700 us,9 B,,   MISO,FF F3 5A 03 02 01 02 01 00
0,73,0:02.194.338,454.800 us,9 B,,Transaction,01FF 46F3 005A 0000 5A00 5A01 5A02 5A00 5A0F
1,74,0:02.194.338,454.800 us,9 B,,   MOSI,01 46 00 00 5A 5A 5A 5A 5A
1,75,0:02.194.338,454.800 us,9 B,,   MISO,FF F3 5A 00 00 01 02 00 0F
0,76,0:02.211.068,454.900 us,9 B,,Transaction,01FF 46F3 005A 0100 5A00 5A01 5A01 5A01 5A0F
1,77,0:02.211.068,454.900 us,9 B,,   MOSI,01 46 00 01 5A 5A 5A 5A 5A
1,78,0:02.211.068,454.900 us,9 B,,   MISO,FF F3 5A 00 00 01 01 01 0F
0,79,0:02.227.731,453.500 us,9 B,,Transaction,01FF 47F3 005A 0000 5A00 5A02 5A00 5A01 5A00
1,80,0:02.227.731,453.500 us,9 B,,   MOSI,01 47 00 00 5A 5A 5A 5A 5A
1,81,0:02.227.731,453.500 us,9 B,,   MISO,FF F3 5A 00 00 02 00 01 00
0,82,0:02.244.923,453.000 us,9 B,,Transaction,01FF 4CF3 005A 0000 5A00 5A00 5A04 5A00 5A00
1,83,0:02.244.923,453.000 us,9 B,,   MOSI,01 4C 00 00 5A 5A 5A 5A 5A
1,84,0:02.244.923,453.000 us,9 B,,   MISO,FF F3 5A 00 00 00 04 00 00
0,85,0:02.261.112,454.600 us,9 B,,Transaction,01FF 4CF3 005A 0100 5A00 5A00 5A07 5A00 5A00
1,86,0:02.261.112,454.600 us,9 B,,   MOSI,01 4C 00 01 5A 5A 5A 5A 5A
1,87,0:02.261.112,454.600 us,9 B,,   MISO,FF F3 5A 00 00 00 07 00 00
0,88,0:02.277.809,453.700 us,9 B,,Transaction,01FF 4DF3 005A 00FF 01FF FFFF FFFF FFFF FFFF
1,89,0:02.277.809,453.700 us,9 B,,   MOSI,01 4D 00 00 01 FF FF FF FF
1,90,0:02.277.809,453.700 us,9 B,,   MISO,FF F3 5A FF FF FF FF FF FF
0,91,0:02.294.478,453.100 us,9 B,,Transaction,01FF 41F3 005A 5AFF 5AFF 5A03 5A00 5A00 5A5A
1,92,0:02.294.478,453.100 us,9 B,,   MOSI,01 41 00 5A 5A 5A 5A 5A 5A
1,93,0:02.294.478,453.100 us,9 B,,   MISO,FF F3 5A FF FF 03 00 00 5A
0,94,0:02.311.134,453.800 us,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,95,0:02.311.134,453.800 us,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,96,0:02.311.134,453.800 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,97,0:02.327.813,256.500 us,5 B,,Transaction,01FF 4273 005A 00FF 00FF
1,98,0:02.327.813,256.500 us,5 B,,   MOSI,01 42 00 00 00
1,99,0:02.327.813,256.500 us,5 B,,   MISO,FF 73 5A FF FF
0,100,0:02.344.556,290.500 us,9 B,,Transaction,01FF 4273 005A 00FF 00FF 0080 0080 0080 0080
1,101,0:02.344.556,290.500 us,9 B,,   MOSI,01 42 00 00 00 00 00 00 00
1,102,0:02.344.556,290.500 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,103,0:02.361.296,291.200 us,9 B,,Transaction,01FF 4273 005A 00FF 00FF 0080 0080 0080 0080
1,104,0:02.361.296,291.200 us,9 B,,   MOSI,01 42 00 00 00 00 00 00 00
1,105,0:02.361.296,291.200 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,106,0:02.377.979,291.300 us,9 B,,Transaction,01FF 4373 005A 01FF 00FF 0080 0080 0080 0080
1,107,0:02.377.979,291.300 us,9 B,,   MOSI,01 43 00 01 00 00 00 00 00
1,108,0:02.377.979,291.300 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,109,0:02.394.664,453.000 us,9 B,,Transaction,01FF 4DF3 005A 0000 0101 FFFF FFFF FFFF FFFF
1,110,0:02.394.664,453.000 us,9 B,,   MOSI,01 4D 00 00 01 FF FF FF FF
1,111,0:02.394.664,453.000 us,9 B,,   MISO,FF F3 5A 00 01 FF FF FF FF
0,112,0:02.411.359,454.300 us,9 B,,Transaction,01FF 43F3 005A 0000 5A00 5A00 5A00 5A00 5A00
1,113,0:02.411.359,454.300 us,9 B,,   MOSI,01 43 00 00 5A 5A 5A 5A 5A
1,114,0:02.411.359,454.300 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 00
0,115,0:02.428.158,292.100 us,9 B,,Transaction,01FF 4273 005A 00FF 00FF 0080 0080 0080 0080
1,116,0:02.428.158,292.100 us,9 B,,   MOSI,01 42 00 00 00 00 00 00 00
1,117,0:02.428.158,292.100 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,118,0:02.444.683,291.100 us,9 B,,Transaction,01FF 4273 005A 00FF 00FF 0080 0080 0080 0080
1,119,0:02.444.683,291.100 us,9 B,,   MOSI,01 42 00 00 00 00 00 00 00
1,120,0:02.444.683,291.100 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,121,0:02.461.303,291.600 us,9 B,,Transaction,01FF 4373 005A 01FF 00FF 0080 0080 0080 0080
1,122,0:02.461.303,291.600 us,9 B,,   MOSI,01 43 00 01 00 00 00 00 00
1,123,0:02.461.303,291.600 us,9 B,,   MISO,FF 73 5A FF FF 80 80 80 80
0,124,0:02.478.030,454.800 us,9 B,,Transaction,01FF 4FF3 005A FF00 FF00 0300 0000 0000 005A
1,125,0:02.478.030,454.800 us,9 B,,   MOSI,01 4F 00 FF FF 03 00 00 00
1,126,0:02.478.030,454.800 us,9 B,,   MISO,FF F3 5A 00 00 00 00 00 5A
0,127,0:02.494.709,454.500 us,9 B,,Transaction,01FF 40F3 005A 0000 0200 0002 0000 0000 005A
1,128,0:02.494.709,454.500 us,9 B,,   MOSI,01 40 00 00 02 00 00 00 00
1,129,0:02.494.709,454.500 us,9 B,,   MISO,FF F3 5A 00 00 02 00 00 5A
0,130,0:02.511.351,454.500 us,9 B,,Transaction,01FF 40F3 005A 0100 0200 0002 0000 0000 005A
